ANTENNA_ID,AZ_TYPE,ANGLE_REF,ANGLE,ATTENUATION
13404,AZHH,0,0,0
13404,AZHH,0,0.1,0
13404,AZHH,0,0.2,0.1
13404,AZHH,0,0.3,0.2
13404,AZHH,0,0.4,0.3
13404,AZHH,0,0.5,0.5
13404,AZHH,0,0.6,0.7
13404,AZHH,0,0.7,0.9
13404,AZHH,0,0.8,1.2
13404,AZHH,0,0.9,1.6
13404,AZHH,0,1,1.9
13404,AZHH,0,1.1,2.4
13404,AZHH,0,1.2,2.8
13404,AZHH,0,1.3,3.3
13404,AZHH,0,1.4,3.9
13404,AZHH,0,1.5,4.5
13404,AZHH,0,1.6,5.1
13404,AZHH,0,1.7,5.8
13404,AZHH,0,1.8,6.5
13404,AZHH,0,1.9,7.2
13404,AZHH,0,2,8
13404,AZHH,0,2.1,8.8
13404,AZHH,0,2.2,9.6
13404,AZHH,0,2.3,10.4
13404,AZHH,0,2.4,11.3
13404,AZHH,0,2.5,12.1
13404,AZHH,0,2.6,12.9
13404,AZHH,0,2.7,13.7
13404,AZHH,0,2.8,14.4
13404,AZHH,0,2.9,15.1
13404,AZHH,0,3,15.8
13404,AZHH,0,3.1,16.4
13404,AZHH,0,3.2,17.1
13404,AZHH,0,3.3,17.6
13404,AZHH,0,3.4,18.1
13404,AZHH,0,3.5,18.5
13404,AZHH,0,3.6,18.9
13404,AZHH,0,3.7,19.4
13404,AZHH,0,3.8,19.8
13404,AZHH,0,3.9,20.2
13404,AZHH,0,4,20.6
13404,AZHH,0,4.1,21
13404,AZHH,0,4.2,21.5
13404,AZHH,0,4.3,22
13404,AZHH,0,4.4,22.4
13404,AZHH,0,4.5,22.9
13404,AZHH,0,5,25
13404,AZHH,0,6,29
13404,AZHH,0,7,32
13404,AZHH,0,14,32
13404,AZHH,0,16,35
13404,AZHH,0,18,35
13404,AZHH,0,21,38
13404,AZHH,0,31,38
13404,AZHH,0,33,41
13404,AZHH,0,43,41
13404,AZHH,0,44,42
13404,AZHH,0,59,42
13404,AZHH,0,66,48
13404,AZHH,0,78,48
13404,AZHH,0,86,57
13404,AZHH,0,180,57
13404,AZHH,0,274,57
13404,AZHH,0,282,48
13404,AZHH,0,294,48
13404,AZHH,0,301,42
13404,AZHH,0,316,42
13404,AZHH,0,317,41
13404,AZHH,0,327,41
13404,AZHH,0,329,38
13404,AZHH,0,339,38
13404,AZHH,0,342,35
13404,AZHH,0,344,35
13404,AZHH,0,346,32
13404,AZHH,0,353,32
13404,AZHH,0,354,29
13404,AZHH,0,355,25
13404,AZHH,0,355.5,22.9
13404,AZHH,0,355.6,22.4
13404,AZHH,0,355.7,22
13404,AZHH,0,355.8,21.5
13404,AZHH,0,355.9,21
13404,AZHH,0,356,20.6
13404,AZHH,0,356.1,20.2
13404,AZHH,0,356.2,19.8
13404,AZHH,0,356.3,19.4
13404,AZHH,0,356.4,18.9
13404,AZHH,0,356.5,18.5
13404,AZHH,0,356.6,18.1
13404,AZHH,0,356.7,17.6
13404,AZHH,0,356.8,17.1
13404,AZHH,0,356.9,16.4
13404,AZHH,0,357,15.8
13404,AZHH,0,357.1,15.1
13404,AZHH,0,357.2,14.4
13404,AZHH,0,357.3,13.7
13404,AZHH,0,357.4,12.9
13404,AZHH,0,357.5,12.1
13404,AZHH,0,357.6,11.3
13404,AZHH,0,357.7,10.4
13404,AZHH,0,357.8,9.6
13404,AZHH,0,357.9,8.8
13404,AZHH,0,358,8
13404,AZHH,0,358.1,7.2
13404,AZHH,0,358.2,6.5
13404,AZHH,0,358.3,5.8
13404,AZHH,0,358.4,5.1
13404,AZHH,0,358.5,4.5
13404,AZHH,0,358.6,3.9
13404,AZHH,0,358.7,3.3
13404,AZHH,0,358.8,2.8
13404,AZHH,0,358.9,2.4
13404,AZHH,0,359,1.9
13404,AZHH,0,359.1,1.6
13404,AZHH,0,359.2,1.2
13404,AZHH,0,359.3,0.9
13404,AZHH,0,359.4,0.7
13404,AZHH,0,359.5,0.5
13404,AZHH,0,359.6,0.3
13404,AZHH,0,359.7,0.2
13404,AZHH,0,359.8,0.1
13404,AZHH,0,359.9,0
13404,AZHV,0,0,31
13404,AZHV,0,1,32
13404,AZHV,0,2.5,41
13404,AZHV,0,4,42
13404,AZHV,0,7,48
13404,AZHV,0,15,49
13404,AZHV,0,40,64
13404,AZHV,0,180,64
13404,AZHV,0,320,64
13404,AZHV,0,345,49
13404,AZHV,0,353,48
13404,AZHV,0,356,42
13404,AZHV,0,357.5,41
13404,AZHV,0,359,32
13404,AZVH,0,0,32
13404,AZVH,0,1,32
13404,AZVH,0,2,35
13404,AZVH,0,3,42
13404,AZVH,0,6,47
13404,AZVH,0,12,52
13404,AZVH,0,33,57
13404,AZVH,0,60,62
13404,AZVH,0,180,62
13404,AZVH,0,300,62
13404,AZVH,0,327,57
13404,AZVH,0,348,52
13404,AZVH,0,354,47
13404,AZVH,0,357,42
13404,AZVH,0,358,35
13404,AZVH,0,359,32
13404,AZVV,0,0,0
13404,AZVV,0,0.1,0
13404,AZVV,0,0.2,0.1
13404,AZVV,0,0.3,0.2
13404,AZVV,0,0.4,0.4
13404,AZVV,0,0.5,0.7
13404,AZVV,0,0.6,1
13404,AZVV,0,0.7,1.4
13404,AZVV,0,0.8,1.8
13404,AZVV,0,0.9,2.3
13404,AZVV,0,1,2.8
13404,AZVV,0,1.1,3.4
13404,AZVV,0,1.2,4.1
13404,AZVV,0,1.3,4.9
13404,AZVV,0,1.4,5.8
13404,AZVV,0,1.5,6.7
13404,AZVV,0,1.6,7.7
13404,AZVV,0,1.7,8.8
13404,AZVV,0,1.8,10.1
13404,AZVV,0,1.9,11.3
13404,AZVV,0,2,12.5
13404,AZVV,0,2.1,13.9
13404,AZVV,0,2.2,15.3
13404,AZVV,0,2.3,16.7
13404,AZVV,0,2.4,18.2
13404,AZVV,0,2.5,19.7
13404,AZVV,0,2.6,21.1
13404,AZVV,0,3,22
13404,AZVV,0,6,22
13404,AZVV,0,10,23
13404,AZVV,0,23,37
13404,AZVV,0,29,37
13404,AZVV,0,33,40
13404,AZVV,0,36,40
13404,AZVV,0,38,41
13404,AZVV,0,46,41
13404,AZVV,0,48,43
13404,AZVV,0,64,43
13404,AZVV,0,70,47
13404,AZVV,0,75,56
13404,AZVV,0,80,56
13404,AZVV,0,82,57
13404,AZVV,0,180,57
13404,AZVV,0,278,57
13404,AZVV,0,280,56
13404,AZVV,0,285,56
13404,AZVV,0,290,47
13404,AZVV,0,296,43
13404,AZVV,0,312,43
13404,AZVV,0,314,41
13404,AZVV,0,322,41
13404,AZVV,0,324,40
13404,AZVV,0,327,40
13404,AZVV,0,331,37
13404,AZVV,0,337,37
13404,AZVV,0,350,23
13404,AZVV,0,354,22
13404,AZVV,0,357,22
13404,AZVV,0,357.4,21.1
13404,AZVV,0,357.5,19.7
13404,AZVV,0,357.6,18.2
13404,AZVV,0,357.7,16.7
13404,AZVV,0,357.8,15.3
13404,AZVV,0,357.9,13.9
13404,AZVV,0,358,12.5
13404,AZVV,0,358.1,11.3
13404,AZVV,0,358.2,10.1
13404,AZVV,0,358.3,8.8
13404,AZVV,0,358.4,7.7
13404,AZVV,0,358.5,6.7
13404,AZVV,0,358.6,5.8
13404,AZVV,0,358.7,4.9
13404,AZVV,0,358.8,4.1
13404,AZVV,0,358.9,3.4
13404,AZVV,0,359,2.8
13404,AZVV,0,359.1,2.3
13404,AZVV,0,359.2,1.8
13404,AZVV,0,359.3,1.4
13404,AZVV,0,359.4,1
13404,AZVV,0,359.5,0.7
13404,AZVV,0,359.6,0.4
13404,AZVV,0,359.7,0.2
13404,AZVV,0,359.8,0.1
13404,AZVV,0,359.9,0
20119,AZHH,0,0,0
20119,AZHH,0,0.3,0
20119,AZHH,0,0.5,0.4
20119,AZHH,0,0.8,1.1
20119,AZHH,0,1,2
20119,AZHH,0,1.3,3.4
20119,AZHH,0,1.6,4.9
20119,AZHH,0,1.8,6.6
20119,AZHH,0,2,8.7
20119,AZHH,0,2.2,10.8
20119,AZHH,0,2.4,13.9
20119,AZHH,0,2.5,16
20119,AZHH,0,2.7,18
20119,AZHH,0,5,18
20119,AZHH,0,5.01,20
20119,AZHH,0,7.5,20
20119,AZHH,0,8,22
20119,AZHH,0,9,22
20119,AZHH,0,10,27
20119,AZHH,0,15,27
20119,AZHH,0,16.5,30
20119,AZHH,0,20,30
20119,AZHH,0,27.5,32
20119,AZHH,0,30,32
20119,AZHH,0,30.01,35
20119,AZHH,0,58,35
20119,AZHH,0,80,44
20119,AZHH,0,105,62
20119,AZHH,0,180,62
20119,AZHH,0,255,62
20119,AZHH,0,280,44
20119,AZHH,0,302,35
20119,AZHH,0,330,35
20119,AZHH,0,330.01,32
20119,AZHH,0,332.5,32
20119,AZHH,0,340,30
20119,AZHH,0,343.5,30
20119,AZHH,0,345,27
20119,AZHH,0,350,27
20119,AZHH,0,351,22
20119,AZHH,0,352,22
20119,AZHH,0,352.5,20
20119,AZHH,0,355,20
20119,AZHH,0,355.01,18
20119,AZHH,0,357.3,18
20119,AZHH,0,357.5,16
20119,AZHH,0,357.6,13.9
20119,AZHH,0,357.8,10.8
20119,AZHH,0,358,8.7
20119,AZHH,0,358.2,6.6
20119,AZHH,0,358.4,4.9
20119,AZHH,0,358.7,3.4
20119,AZHH,0,359,2
20119,AZHH,0,359.2,1.1
20119,AZHH,0,359.5,0.4
20119,AZHH,0,359.7,0
20119,AZHV,0,0,32
20119,AZHV,0,3,32
20119,AZHV,0,5,40
20119,AZHV,0,10,40
20119,AZHV,0,14,44
20119,AZHV,0,15,44
20119,AZHV,0,20,44
20119,AZHV,0,30,45
20119,AZHV,0,60,48
20119,AZHV,0,65,50
20119,AZHV,0,80,57
20119,AZHV,0,90,60
20119,AZHV,0,120,62
20119,AZHV,0,180,62
20119,AZHV,0,240,62
20119,AZHV,0,270,60
20119,AZHV,0,280,57
20119,AZHV,0,295,50
20119,AZHV,0,300,48
20119,AZHV,0,330,45
20119,AZHV,0,340,44
20119,AZHV,0,345,44
20119,AZHV,0,346,44
20119,AZHV,0,350,40
20119,AZHV,0,355,40
20119,AZHV,0,357,32
20119,AZVH,0,0,32
20119,AZVH,0,3,32
20119,AZVH,0,5,37
20119,AZVH,0,8,38
20119,AZVH,0,10,41
20119,AZVH,0,12,44
20119,AZVH,0,15,44
20119,AZVH,0,30,44
20119,AZVH,0,36,48
20119,AZVH,0,40,48.5
20119,AZVH,0,60,52
20119,AZVH,0,70,52
20119,AZVH,0,80,56
20119,AZVH,0,105,60
20119,AZVH,0,140,62
20119,AZVH,0,180,62
20119,AZVH,0,220,62
20119,AZVH,0,255,60
20119,AZVH,0,280,56
20119,AZVH,0,290,52
20119,AZVH,0,300,52
20119,AZVH,0,320,48.5
20119,AZVH,0,324,48
20119,AZVH,0,330,44
20119,AZVH,0,345,44
20119,AZVH,0,348,44
20119,AZVH,0,350,41
20119,AZVH,0,352,38
20119,AZVH,0,355,37
20119,AZVH,0,357,32
20119,AZVV,0,0,0
20119,AZVV,0,0.3,0
20119,AZVV,0,0.6,0.5
20119,AZVV,0,0.9,1.2
20119,AZVV,0,1.2,2.3
20119,AZVV,0,1.5,4.2
20119,AZVV,0,1.8,6.3
20119,AZVV,0,2.1,8.3
20119,AZVV,0,2.4,11.8
20119,AZVV,0,2.8,17.5
20119,AZVV,0,4,20
20119,AZVV,0,5,22
20119,AZVV,0,9,22
20119,AZVV,0,11,26
20119,AZVV,0,15,27
20119,AZVV,0,20,28.5
20119,AZVV,0,30,35
20119,AZVV,0,46,36
20119,AZVV,0,60,43
20119,AZVV,0,66,44
20119,AZVV,0,85,58
20119,AZVV,0,100,62
20119,AZVV,0,180,62
20119,AZVV,0,260,62
20119,AZVV,0,275,58
20119,AZVV,0,294,44
20119,AZVV,0,300,43
20119,AZVV,0,314,36
20119,AZVV,0,330,35
20119,AZVV,0,340,28.5
20119,AZVV,0,345,27
20119,AZVV,0,349,26
20119,AZVV,0,351,22
20119,AZVV,0,355,22
20119,AZVV,0,356,20
20119,AZVV,0,357.2,17.5
20119,AZVV,0,357.6,11.8
20119,AZVV,0,357.9,8.3
20119,AZVV,0,358.2,6.3
20119,AZVV,0,358.5,4.2
20119,AZVV,0,358.8,2.3
20119,AZVV,0,359.1,1.2
20119,AZVV,0,359.4,0.5
20119,AZVV,0,359.7,0
208,AZHH,0,0,0
208,AZHH,0,0.5,1.3
208,AZHH,0,1,5
208,AZHH,0,1.5,11
208,AZHH,0,1.6,25
208,AZHH,0,2.9,25
208,AZHH,0,5.4,28
208,AZHH,0,9.5,39
208,AZHH,0,15,40
208,AZHH,0,35,46
208,AZHH,0,60,46
208,AZHH,0,100,68
208,AZHH,0,180,68
208,AZHH,0,260,68
208,AZHH,0,300,46
208,AZHH,0,325,46
208,AZHH,0,345,40
208,AZHH,0,350.5,39
208,AZHH,0,354.6,28
208,AZHH,0,357.1,25
208,AZHH,0,358.4,25
208,AZHH,0,358.5,11
208,AZHH,0,359,5
208,AZHH,0,359.5,1.3
208,AZHV,0,0,30
208,AZHV,0,1.4,30
208,AZHV,0,1.9,40
208,AZHV,0,2.2,46
208,AZHV,0,3.5,49
208,AZHV,0,12.6,49
208,AZHV,0,15,51.8
208,AZHV,0,24,55.4
208,AZHV,0,30.5,55.9
208,AZHV,0,40,60
208,AZHV,0,50,60
208,AZHV,0,100,70
208,AZHV,0,180,70
208,AZHV,0,260,70
208,AZHV,0,310,60
208,AZHV,0,320,60
208,AZHV,0,329.5,55.9
208,AZHV,0,336,55.4
208,AZHV,0,345,51.8
208,AZHV,0,347.4,49
208,AZHV,0,356.5,49
208,AZHV,0,357.8,46
208,AZHV,0,358.1,40
208,AZHV,0,358.6,30
208,AZVH,0,0,30
208,AZVH,0,1.4,30
208,AZVH,0,1.9,40
208,AZVH,0,3,40
208,AZVH,0,4.5,45.8
208,AZVH,0,5.6,45.8
208,AZVH,0,7,49.9
208,AZVH,0,11.5,49.9
208,AZVH,0,15,54.8
208,AZVH,0,24,55.4
208,AZVH,0,30.5,55.9
208,AZVH,0,40,60
208,AZVH,0,65.5,60
208,AZVH,0,100,70
208,AZVH,0,180,70
208,AZVH,0,260,70
208,AZVH,0,294.5,60
208,AZVH,0,320,60
208,AZVH,0,329.5,55.9
208,AZVH,0,336,55.4
208,AZVH,0,345,54.8
208,AZVH,0,348.5,49.9
208,AZVH,0,353,49.9
208,AZVH,0,354.4,45.8
208,AZVH,0,355.5,45.8
208,AZVH,0,357,40
208,AZVH,0,358.1,40
208,AZVH,0,358.6,30
208,AZVV,0,0,0
208,AZVV,0,0.5,1.3
208,AZVV,0,1,5
208,AZVV,0,1.5,11
208,AZVV,0,1.6,25
208,AZVV,0,2.5,25
208,AZVV,0,3.5,27
208,AZVV,0,4.7,27.2
208,AZVV,0,5.4,28
208,AZVV,0,7.5,34
208,AZVV,0,11.1,34
208,AZVV,0,14,40.1
208,AZVV,0,23,40.1
208,AZVV,0,40,50
208,AZVV,0,44.5,54.1
208,AZVV,0,60.5,54.1
208,AZVV,0,100,68
208,AZVV,0,180,68
208,AZVV,0,260,68
208,AZVV,0,299.5,54.1
208,AZVV,0,315.5,54.1
208,AZVV,0,320,50
208,AZVV,0,337,40.1
208,AZVV,0,346,40.1
208,AZVV,0,348.9,34
208,AZVV,0,352.5,34
208,AZVV,0,354.6,28
208,AZVV,0,355.3,27.2
208,AZVV,0,356.5,27
208,AZVV,0,357.5,25
208,AZVV,0,358.4,25
208,AZVV,0,358.5,11
208,AZVV,0,359,5
208,AZVV,0,359.5,1.3
238,AZHH,0,0,0
238,AZHH,0,0.3,0.1
238,AZHH,0,0.8,0.2
238,AZHH,0,1.1,0.2
238,AZHH,0,1.8,0.5
238,AZHH,0,2,0.8
238,AZHH,0,3.3,2
238,AZHH,0,4.3,4
238,AZHH,0,5,5
238,AZHH,0,6,7.8
238,AZHH,0,7.2,11
238,AZHH,0,8.3,14
238,AZHH,0,10.8,20
238,AZHH,0,15,20
238,AZHH,0,22,26
238,AZHH,0,26,26
238,AZHH,0,35,31
238,AZHH,0,115,31
238,AZHH,0,123,35
238,AZHH,0,144,35
238,AZHH,0,170,35
238,AZHH,0,172,33
238,AZHH,0,180,33
238,AZHH,0,188,33
238,AZHH,0,190,35
238,AZHH,0,216,35
238,AZHH,0,237,35
238,AZHH,0,245,31
238,AZHH,0,325,31
238,AZHH,0,334,26
238,AZHH,0,338,26
238,AZHH,0,345,20
238,AZHH,0,349.2,20
238,AZHH,0,351.7,14
238,AZHH,0,352.8,11
238,AZHH,0,354,7.8
238,AZHH,0,355,5
238,AZHH,0,355.7,4
238,AZHH,0,356.7,2
238,AZHH,0,358,0.8
238,AZHH,0,358.2,0.5
238,AZHH,0,358.9,0.2
238,AZHH,0,359.2,0.2
238,AZHH,0,359.7,0.1
238,AZHV,0,0,32
238,AZHV,0,5,32
238,AZHV,0,6,35
238,AZHV,0,9,35
238,AZHV,0,10,38
238,AZHV,0,15,38
238,AZHV,0,145,38
238,AZHV,0,150,42
238,AZHV,0,180,42
238,AZHV,0,210,42
238,AZHV,0,215,38
238,AZHV,0,345,38
238,AZHV,0,350,38
238,AZHV,0,351,35
238,AZHV,0,354,35
238,AZHV,0,355,32
238,AZVH,0,0,32
238,AZVH,0,5,32
238,AZVH,0,6,35
238,AZVH,0,9,35
238,AZVH,0,10,38
238,AZVH,0,15,38
238,AZVH,0,145,38
238,AZVH,0,150,42
238,AZVH,0,180,42
238,AZVH,0,210,42
238,AZVH,0,215,38
238,AZVH,0,345,38
238,AZVH,0,350,38
238,AZVH,0,351,35
238,AZVH,0,354,35
238,AZVH,0,355,32
238,AZVV,0,0,0
238,AZVV,0,0.5,0.1
238,AZVV,0,1,0.2
238,AZVV,0,1.5,0.6
238,AZVV,0,2.1,1.1
238,AZVV,0,3.3,3
238,AZVV,0,4,5
238,AZVV,0,5.2,9
238,AZVV,0,6.5,14
238,AZVV,0,10.6,14
238,AZVV,0,13,18.5
238,AZVV,0,15,18.5
238,AZVV,0,22.5,21
238,AZVV,0,26,23
238,AZVV,0,100,23
238,AZVV,0,105,25
238,AZVV,0,110,25
238,AZVV,0,123,33
238,AZVV,0,180,33
238,AZVV,0,237,33
238,AZVV,0,250,25
238,AZVV,0,255,25
238,AZVV,0,260,23
238,AZVV,0,334,23
238,AZVV,0,337.5,21
238,AZVV,0,345,18.5
238,AZVV,0,347,18.5
238,AZVV,0,349.4,14
238,AZVV,0,353.5,14
238,AZVV,0,354.8,9
238,AZVV,0,356,5
238,AZVV,0,356.7,3
238,AZVV,0,357.9,1.1
238,AZVV,0,358.5,0.6
238,AZVV,0,359,0.2
238,AZVV,0,359.5,0.1
249,AZHH,0,0,0
249,AZHH,0,0.3,0
249,AZHH,0,0.5,0.2
249,AZHH,0,1.2,0.4
249,AZHH,0,1.8,1
249,AZHH,0,2.3,2
249,AZHH,0,3.2,3.9
249,AZHH,0,4.2,6.6
249,AZHH,0,5,8.9
249,AZHH,0,6,13
249,AZHH,0,7,18
249,AZHH,0,8,22
249,AZHH,0,10.1,22
249,AZHH,0,12,25
249,AZHH,0,15,25
249,AZHH,0,18,25
249,AZHH,0,23.5,31
249,AZHH,0,25.5,33
249,AZHH,0,50.7,33
249,AZHH,0,57,36
249,AZHH,0,66,36
249,AZHH,0,70,37
249,AZHH,0,86,37
249,AZHH,0,100,41
249,AZHH,0,169,41
249,AZHH,0,171,38
249,AZHH,0,180,38
249,AZHH,0,189,38
249,AZHH,0,191,41
249,AZHH,0,260,41
249,AZHH,0,274,37
249,AZHH,0,290,37
249,AZHH,0,294,36
249,AZHH,0,303,36
249,AZHH,0,309.3,33
249,AZHH,0,334.5,33
249,AZHH,0,336.5,31
249,AZHH,0,342,25
249,AZHH,0,345,25
249,AZHH,0,348,25
249,AZHH,0,349.9,22
249,AZHH,0,352,22
249,AZHH,0,353,18
249,AZHH,0,354,13
249,AZHH,0,355,8.9
249,AZHH,0,355.8,6.6
249,AZHH,0,356.8,3.9
249,AZHH,0,357.7,2
249,AZHH,0,358.2,1
249,AZHH,0,358.8,0.4
249,AZHH,0,359.5,0.2
249,AZHH,0,359.7,0
249,AZHV,0,0,34
249,AZHV,0,5,34
249,AZHV,0,7,37
249,AZHV,0,15,37
249,AZHV,0,25,37
249,AZHV,0,30,41
249,AZHV,0,130,41
249,AZHV,0,140,43
249,AZHV,0,180,43
249,AZHV,0,220,43
249,AZHV,0,230,41
249,AZHV,0,330,41
249,AZHV,0,335,37
249,AZHV,0,345,37
249,AZHV,0,353,37
249,AZHV,0,355,34
249,AZVH,0,0,34
249,AZVH,0,5,34
249,AZVH,0,7,37
249,AZVH,0,15,37
249,AZVH,0,25,37
249,AZVH,0,30,41
249,AZVH,0,130,41
249,AZVH,0,140,43
249,AZVH,0,180,43
249,AZVH,0,220,43
249,AZVH,0,230,41
249,AZVH,0,330,41
249,AZVH,0,335,37
249,AZVH,0,345,37
249,AZVH,0,353,37
249,AZVH,0,355,34
249,AZVV,0,0,0
249,AZVV,0,0.3,0
249,AZVV,0,0.7,0.3
249,AZVV,0,1,0.6
249,AZVV,0,1.6,1.2
249,AZVV,0,2.3,3
249,AZVV,0,3.2,6
249,AZVV,0,4.3,12
249,AZVV,0,5.1,16
249,AZVV,0,7.5,16
249,AZVV,0,9.5,23
249,AZVV,0,15,23
249,AZVV,0,25,30
249,AZVV,0,87,30
249,AZVV,0,105,38
249,AZVV,0,180,38
249,AZVV,0,255,38
249,AZVV,0,273,30
249,AZVV,0,335,30
249,AZVV,0,345,23
249,AZVV,0,350.5,23
249,AZVV,0,352.5,16
249,AZVV,0,354.9,16
249,AZVV,0,355.7,12
249,AZVV,0,356.8,6
249,AZVV,0,357.7,3
249,AZVV,0,358.4,1.2
249,AZVV,0,359,0.6
249,AZVV,0,359.3,0.3
249,AZVV,0,359.7,0
258,AZHH,0,0,0
258,AZHH,0,0.5,0.6
258,AZHH,0,1,1.3
258,AZHH,0,1.5,2.4
258,AZHH,0,2,4.1
258,AZHH,0,2.5,6.3
258,AZHH,0,3,9.1
258,AZHH,0,4,16
258,AZHH,0,5,16
258,AZHH,0,7.5,22
258,AZHH,0,15,25
258,AZHH,0,30,29
258,AZHH,0,100,29
258,AZHH,0,120,37
258,AZHH,0,140,41
258,AZHH,0,170,41
258,AZHH,0,170.01,40
258,AZHH,0,180,40
258,AZHH,0,190,40
258,AZHH,0,190.01,41
258,AZHH,0,220,41
258,AZHH,0,240,37
258,AZHH,0,260,29
258,AZHH,0,330,29
258,AZHH,0,345,25
258,AZHH,0,352.5,22
258,AZHH,0,355,16
258,AZHH,0,356,16
258,AZHH,0,357,9.1
258,AZHH,0,357.5,6.3
258,AZHH,0,358,4.1
258,AZHH,0,358.5,2.4
258,AZHH,0,359,1.3
258,AZHH,0,359.5,0.6
258,AZHV,0,0,30
258,AZHV,0,4,30
258,AZHV,0,7,40
258,AZHV,0,10,41
258,AZHV,0,15,41
258,AZHV,0,170,41
258,AZHV,0,170.01,40
258,AZHV,0,180,40
258,AZHV,0,190,40
258,AZHV,0,190.01,41
258,AZHV,0,345,41
258,AZHV,0,350,41
258,AZHV,0,353,40
258,AZHV,0,356,30
258,AZVH,0,0,30
258,AZVH,0,4,30
258,AZVH,0,7,40
258,AZVH,0,10,41
258,AZVH,0,15,41
258,AZVH,0,170,41
258,AZVH,0,170.01,40
258,AZVH,0,180,40
258,AZVH,0,190,40
258,AZVH,0,190.01,41
258,AZVH,0,345,41
258,AZVH,0,350,41
258,AZVH,0,353,40
258,AZVH,0,356,30
258,AZVV,0,0,0
258,AZVV,0,0.5,0.2
258,AZVV,0,1,0.7
258,AZVV,0,1.5,1.5
258,AZVV,0,2,2.4
258,AZVV,0,2.5,3.9
258,AZVV,0,3,5.9
258,AZVV,0,4,10.4
258,AZVV,0,5,17
258,AZVV,0,7.5,22
258,AZVV,0,15,25
258,AZVV,0,30,29
258,AZVV,0,50,36
258,AZVV,0,100,36
258,AZVV,0,130,41
258,AZVV,0,170,41
258,AZVV,0,170.01,40
258,AZVV,0,180,40
258,AZVV,0,190,40
258,AZVV,0,190.01,41
258,AZVV,0,230,41
258,AZVV,0,260,36
258,AZVV,0,310,36
258,AZVV,0,330,29
258,AZVV,0,345,25
258,AZVV,0,352.5,22
258,AZVV,0,355,17
258,AZVV,0,356,10.4
258,AZVV,0,357,5.9
258,AZVV,0,357.5,3.9
258,AZVV,0,358,2.4
258,AZVV,0,358.5,1.5
258,AZVV,0,359,0.7
258,AZVV,0,359.5,0.2
30037,AZHH,0,0,0
30037,AZHH,0,0.5,0
30037,AZHH,0,1,0.1
30037,AZHH,0,1.5,0.2
30037,AZHH,0,2,0.4
30037,AZHH,0,2.5,0.6
30037,AZHH,0,3,0.8
30037,AZHH,0,3.5,1.1
30037,AZHH,0,4,1.4
30037,AZHH,0,4.5,1.8
30037,AZHH,0,5,2.2
30037,AZHH,0,5.5,2.7
30037,AZHH,0,6,3.2
30037,AZHH,0,6.5,3.8
30037,AZHH,0,7,4.4
30037,AZHH,0,7.5,5.1
30037,AZHH,0,8,5.8
30037,AZHH,0,8.5,6.5
30037,AZHH,0,9,7.3
30037,AZHH,0,9.5,8.2
30037,AZHH,0,10,9.1
30037,AZHH,0,10.5,10.1
30037,AZHH,0,11,11.3
30037,AZHH,0,11.5,12.6
30037,AZHH,0,12,13.9
30037,AZHH,0,12.5,15.3
30037,AZHH,0,13,16.7
30037,AZHH,0,13.5,18
30037,AZHH,0,15,18
30037,AZHH,0,21,18
30037,AZHH,0,26,23
30037,AZHH,0,35,23
30037,AZHH,0,40,25
30037,AZHH,0,61,25
30037,AZHH,0,69,29
30037,AZHH,0,150.5,29
30037,AZHH,0,153,30
30037,AZHH,0,180,30
30037,AZHH,0,207,30
30037,AZHH,0,209.5,29
30037,AZHH,0,291,29
30037,AZHH,0,299,25
30037,AZHH,0,320,25
30037,AZHH,0,325,23
30037,AZHH,0,334,23
30037,AZHH,0,339,18
30037,AZHH,0,345,18
30037,AZHH,0,346.5,18
30037,AZHH,0,347,16.7
30037,AZHH,0,347.5,15.3
30037,AZHH,0,348,13.9
30037,AZHH,0,348.5,12.6
30037,AZHH,0,349,11.3
30037,AZHH,0,349.5,10.1
30037,AZHH,0,350,9.1
30037,AZHH,0,350.5,8.2
30037,AZHH,0,351,7.3
30037,AZHH,0,351.5,6.5
30037,AZHH,0,352,5.8
30037,AZHH,0,352.5,5.1
30037,AZHH,0,353,4.4
30037,AZHH,0,353.5,3.8
30037,AZHH,0,354,3.2
30037,AZHH,0,354.5,2.7
30037,AZHH,0,355,2.2
30037,AZHH,0,355.5,1.8
30037,AZHH,0,356,1.4
30037,AZHH,0,356.5,1.1
30037,AZHH,0,357,0.8
30037,AZHH,0,357.5,0.6
30037,AZHH,0,358,0.4
30037,AZHH,0,358.5,0.2
30037,AZHH,0,359,0.1
30037,AZHH,0,359.5,0
30037,AZHV,0,0,32
30037,AZHV,0,15,32
30037,AZHV,0,180,32
30037,AZHV,0,345,32
30037,AZVH,0,0,30
30037,AZVH,0,15,30
30037,AZVH,0,30,30
30037,AZVH,0,40,32
30037,AZVH,0,180,32
30037,AZVH,0,320,32
30037,AZVH,0,330,30
30037,AZVH,0,345,30
30037,AZVV,0,0,0
30037,AZVV,0,0.5,0.1
30037,AZVV,0,1,0.1
30037,AZVV,0,1.5,0.2
30037,AZVV,0,2,0.4
30037,AZVV,0,2.5,0.7
30037,AZVV,0,3,1
30037,AZVV,0,3.5,1.4
30037,AZVV,0,4,1.8
30037,AZVV,0,4.5,2.4
30037,AZVV,0,5,3
30037,AZVV,0,5.5,3.5
30037,AZVV,0,6,4.2
30037,AZVV,0,6.5,5
30037,AZVV,0,7,5.8
30037,AZVV,0,7.5,6.6
30037,AZVV,0,8,7.4
