Title,Station Number,Lat,Long,Basin,LGA Name,Location Types
Augustus Downs Station,29001,-18.51188,139.85338,Leichhardt River,Carpentaria Shire,Rain Gauge / Water Level
Lorraine,29032,-19.0067,139.8961,Leichhardt River,Carpentaria Shire,Rain Gauge / Water Level
Burketown Airstrip,29157,-17.7561,139.5283,Nicholson River,Burke Shire,Rain Gauge / Water Level
Escott Station,29159,-17.7999,139.3605,Nicholson River,Burke Shire,Rain Gauge / Water Level
Richmond Post Office,30045,-20.7289,143.1425,Flinders River,Richmond Shire,Rain Gauge / Water Level
Babinda Post Office,31004,-17.3436,145.9217,Mulgrave-Russell Rivers,Cairns Regional,Rain Gauge
Bartle View Alert,31181,-17.545,145.7156,Johnstone River,Tablelands Regional,Rain Gauge
Greenhaven Alert,31182,-17.5875,145.5997,Johnstone River,Tablelands Regional,Rain Gauge
Malanda Alert,31183,-17.3594,145.5922,Johnstone River,Tablelands Regional,Rain Gauge
McKell Road Alert,31184,-17.4442,145.5094,Johnstone River,Tablelands Regional,Rain Gauge
Millaa Millaa Alert,31185,-17.5175,145.6089,Johnstone River,Tablelands Regional,Rain Gauge / Repeater
Sutties Creek Alert,31186,-17.6803,145.6603,Johnstone River,Tablelands Regional,Rain Gauge
Topaz Alert,31187,-17.4694,145.7311,Johnstone River,Tablelands Regional,Rain Gauge
Murray Springs Alert,31191,-18.1494,145.4803,Herbert River,Tablelands Regional,Rain Gauge / Repeater
Mt Garnet Alert,31196,-17.7047,145.1461,Herbert River,Tablelands Regional,Rain Gauge
Upper Rudd Creek Alert,31197,-18.0394,144.8856,Herbert River,Tablelands Regional,Rain Gauge
Herberton Alert,31198,-17.3769,145.3803,Herbert River,Tablelands Regional,Rain Gauge
Ravenshoe Alert,31200,-17.591,145.52958,Herbert River,Tablelands Regional,Rain Gauge
Copperlode Dam Alert,31205,-16.9794,145.6747,Barron River,Cairns Regional,Rain Gauge / Water Level / Reservoir
Gleneagle,32018,-18.16084,145.3422,Herbert River,Tablelands Regional,Rain Gauge / Water Level
Marco Street Alert,32020,-17.5556,145.9556,Johnstone River,Cassowary Coast Regional,Rain Gauge / Repeater
Russell River,32033,-17.4608,145.8822,Mulgrave-Russell Rivers,Cairns Regional,Rain Gauge
Central Mill Tm,32155,-17.6094,145.9786,Johnstone River,Cassowary Coast Regional,Rain Gauge / Water Level
Central Mill Alert,32160,-17.6089,145.9792,Johnstone River,Cassowary Coast Regional,Rain Gauge / Water Level
Corsis Alert,32161,-17.5967,145.9014,Johnstone River,Cassowary Coast Regional,Rain Gauge / Water Level
Crawfords Lookout Alert,32162,-17.615,145.8011,Johnstone River,Cassowary Coast Regional,Rain Gauge
Innisfail Wharf Alert,32163,-17.5236,146.0325,Johnstone River,Cassowary Coast Regional,Rain Gauge / Water Level
Menavale Alert,32164,-17.6808,145.8878,Johnstone River,Cassowary Coast Regional,Rain Gauge
Nerada Alert,32165,-17.5308,145.8464,Johnstone River,Cassowary Coast Regional,Rain Gauge / Water Level
Tung Oil Alert,32166,-17.5456,145.9325,Johnstone River,Cassowary Coast Regional,Rain Gauge / Water Level
Gleneagle Alert,32169,-18.1919,145.3325,Herbert River,Tablelands Regional,Rain Gauge / Water Level
Nash's Crossing Alert,32170,-18.4125,145.7722,Herbert River,Hinchinbrook Shire,Rain Gauge / Water Level
Ingham Pump Station Al,32171,-18.6347,146.1444,Herbert River,Hinchinbrook Shire,Rain Gauge / Water Level
Wallaman Alert,32172,-18.4606,145.7383,Herbert River,Charters Towers Regional,Rain Gauge / Repeater
Peacock Siding Alert,32173,-18.6797,145.9961,Herbert River,Hinchinbrook Shire,Rain Gauge / Water Level
Abergowrie Alert,32174,-18.4889,145.9364,Herbert River,Hinchinbrook Shire,Rain Gauge / Water Level
Kirrama Alert,32176,-18.14086,145.610063,Herbert River,Tablelands Regional,Rain Gauge
Zattas Alert,32184,-18.4506,145.8294,Herbert River,Hinchinbrook Shire,Rain Gauge / Water Level
Halifax Alert,32185,-18.5789,146.2803,Herbert River,Hinchinbrook Shire,Rain Gauge / Water Level
Michael Creek Alert,32186,-18.8478,145.9067,Burdekin River,Hinchinbrook Shire,Rain Gauge
Plane Creek Sugar Mill,33059,-21.427,149.216,Plane Creek,Mackay Regional,Rain Gauge
Mirani,33152,-21.1583,148.8608,Pioneer River,Mackay Regional,Water Level
Flora Valley,33207,-19.7581,146.8389,Haughton River,Charters Towers Regional,Rain Gauge / Water Level
Cressfield,33254,-20.3436,148.5,Proserpine River,Whitsunday Regional,Rain Gauge / Water Level
Boundary Creek Alert,33263,-20.4186,148.1108,Don River,Whitsunday Regional,Rain Gauge
Bowen Pump Station Alert,33264,-20.0089,148.2044,Don River,Whitsunday Regional,Rain Gauge / Water Level
Ida Creek Alert,33265,-20.2886,148.1175,Don River,Whitsunday Regional,Rain Gauge / Water Level
Moss Vale Alert,33266,-20.2381,148.0311,Don River,Whitsunday Regional,Rain Gauge / Repeater
Mt Dangar Alert,33267,-20.2197,148.1217,Don River,Whitsunday Regional,Rain Gauge / Water Level
Reeves Alert,33268,-20.1494,148.1556,Don River,Whitsunday Regional,Rain Gauge / Water Level
Roma Peak Alert,33269,-20.3078,148.2181,Don River,Whitsunday Regional,Rain Gauge
Upper Don Alert,33270,-20.2943,148.1142,Don River,Whitsunday Regional,Rain Gauge
Clare Alert,33286,-19.7586,147.2436,Burdekin River,Burdekin Shire,Rain Gauge / Water Level
Millaroo Alert,33287,-19.9717,147.2508,Burdekin River,Burdekin Shire,Rain Gauge / Water Level
Inkerman Bridge Alert,33288,-19.6433,147.3972,Burdekin River,Burdekin Shire,Rain Gauge / Water Level
Strathbogie Alert,33289,-20.1425,147.5631,Burdekin River,Whitsunday Regional,Rain Gauge / Water Level
Mt Pleasant Alert,33290,-20.2897,147.9019,Burdekin River,Whitsunday Regional,Rain Gauge
Dalbeg Alert,33291,-20.3089,147.2961,Burdekin River,Burdekin Shire,Rain Gauge / Water Level
Myuna Alert,33292,-20.5819,147.5981,Burdekin River,Whitsunday Regional,Rain Gauge / Water Level
Sarich's Alert,33299,-21.2725,148.8203,Pioneer River,Mackay Regional,Rain Gauge / Water Level
Dumbleton Rocks Alert,33300,-21.1439,149.0753,Pioneer River,Mackay Regional,Rain Gauge / Water Level
Whiteford's Alert,33301,-21.3228,148.835,Pioneer River,Mackay Regional,Rain Gauge / Water Level
Mirani Weir Tw Alert,33302,-21.1772,148.8311,Pioneer River,Mackay Regional,Rain Gauge / Water Level
Mackay Alert,33303,-21.1397,149.1883,Pioneer River,Mackay Regional,Rain Gauge / Water Level
Gargett Alert,33304,-21.1781,148.7442,Pioneer River,Mackay Regional,Rain Gauge / Water Level
Outer Harbour Tide Alert,33305,-21.1083,149.2239,Pioneer River,Mackay Regional,Water Level / Tide Gauge
Emu Creek Alert,33306,-20.4103,148.2306,Don River,Whitsunday Regional,Rain Gauge
South Yaamba Tm,33310,-23.2,150.3978,Fitzroy River (Qld),Livingstone Shire,Rain Gauge / Water Level
Giru North,33319,-19.5144,147.1011,Haughton River,Burdekin Shire,Rain Gauge
Burdekin Dam Alert,34097,-20.6467,147.1372,Burdekin River,Whitsunday Regional,Rain Gauge / Water Level / Reservoir
Alpha,35229,-23.64902778,146.6463889,Burdekin River,Barcaldine Regional,Rain Gauge / Water Level
Winton,37018,-22.4,143.0403,Diamantina River,Winton Shire,Water Level
Bedourie,38000,-24.3597,139.4714,Georgina River,Diamantina Shire,Rain Gauge / Water Level
Birdsville Police Station,38002,-25.9003,139.3492,Diamantina River,Diamantina Shire,Rain Gauge / Water Level
Glengyle,38009,-24.7856,139.5919,Georgina River,Diamantina Shire,Rain Gauge / Water Level
Marion Downs,38014,-23.365,139.6556,Georgina River,Boulia Shire,Rain Gauge / Water Level
Mundubbera,39073,-25.5908,151.2986,Burnett River,North Burnett Regional,Rain Gauge / Water Level
Baralaba,39143,-24.1817,149.81,Fitzroy River (Qld),Banana Shire,Rain Gauge / Water Level
Gayndah,39191,-25.6283,151.6133,Burnett River,North Burnett Regional,Rain Gauge / Water Level
Walla Alert-B,39258,-25.1358,151.9844,Burnett River,Bundaberg Regional,Rain Gauge / Water Level
Moura,39296,-24.5917,149.9017,Fitzroy River (Qld),Banana Shire,Rain Gauge / Water Level
Laurel Bank Tm,39347,-23.2967,150.435,Fitzroy River (Qld),Rockhampton Regional,Water Level
Peachester,40169,-26.8425,152.8819,Brisbane River,Sunshine Coast Regional,Rain Gauge
Kalbar,40440,-27.9233,152.6008,Brisbane River,Scenic Rim Regional,Water Level
Lowood,40441,-27.4708,152.5894,Brisbane River,Somerset Regional,Water Level
Gatton,40444,-27.555,152.275,Brisbane River,Lockyer Valley Regional,Water Level
Brisbane Bar Tide TM,40647,-27.3608,153.1719,Brisbane River,Brisbane City,Water Level / Tide Gauge
Jindalee (Centenary) Bridge,40713,-27.5283,152.9467,Brisbane River,Brisbane City,Water Level
Laidley,40716,-27.6514,152.3808,Brisbane River,Lockyer Valley Regional,Rain Gauge / Water Level
New Beith Tm,40719,-27.73,152.9483,Brisbane River,Logan City,Water Level
Thornton,40751,-27.7956,152.3753,Brisbane River,Lockyer Valley Regional,Water Level
Wolffdene Alert,40761,-27.7828,153.1889,Logan-Albert Rivers,Logan City,Rain Gauge / Water Level
Marodian Tm,40825,-25.9,152.3497,Mary River (Qld),Gympie Regional,Rain Gauge / Water Level
Ipswich Alert,40831,-27.6117,152.7611,Brisbane River,Ipswich City,Rain Gauge / Water Level
One Mile Bridge Alert,40836,-27.6272,152.7461,Brisbane River,Ipswich City,Rain Gauge / Water Level
Three Mile Bridge Alert,40838,-27.6322,152.7269,Brisbane River,Ipswich City,Water Level
Blackstone Bridge Alert,40872,-27.6219,152.7978,Brisbane River,Ipswich City,Water Level
Harding Street Alert,40873,-27.6375,152.7903,Brisbane River,Ipswich City,Water Level
Brisbane Road Alert,40874,-27.6078,152.9083,Brisbane River,Ipswich City,Rain Gauge / Water Level
Bundamba School Alert,40875,-27.6117,152.8064,Brisbane River,Ipswich City,Rain Gauge / Water Level
Waterford Alert,40878,-27.6947,153.1364,Logan-Albert Rivers,Logan City,Rain Gauge / Water Level
Teddington Weir Hw Tm,40896,-25.6517,152.6633,Mary River (Qld),Fraser Coast Regional,Rain Gauge / Water Level
Musket Flat Mt Alert,40902,-25.4969,152.3836,Burrum River,Fraser Coast Regional,Rain Gauge
Pacific Haven Alert,40903,-25.2386,152.5319,Burrum River,Fraser Coast Regional,Rain Gauge / Water Level
Railway Bridge Alert,40904,-25.2756,152.5089,Burrum River,Fraser Coast Regional,Rain Gauge / Water Level
Upper Cherwell Alert,40905,-25.2928,152.4097,Burrum River,Bundaberg Regional,Rain Gauge
Lenthalls Dam Alert,40906,-25.4019,152.5317,Burrum River,Fraser Coast Regional,Rain Gauge / Water Level / Reservoir
Howard Alert,40907,-25.3289,152.5619,Burrum River,Fraser Coast Regional,Rain Gauge / Water Level
Laheys Lookout Alert,40930,-27.9972,153.1825,South Coast,Scenic Rim Regional,Repeater
O'Reillys Alert,40931,-28.2314,153.1356,Logan-Albert Rivers,Scenic Rim Regional,Rain Gauge / Repeater
Darlington Alert,40932,-28.2608,153.0917,Logan-Albert Rivers,Scenic Rim Regional,Rain Gauge
Foxley Alert,40933,-28.27,153.0264,Logan-Albert Rivers,Scenic Rim Regional,Rain Gauge
Maclean Bridge Alert,40935,-27.7864,153.0161,Logan-Albert Rivers,Logan City,Rain Gauge / Water Level
Lumeah Alert,40936,-28.0614,153.0408,Logan-Albert Rivers,Scenic Rim Regional,Rain Gauge / Water Level
Benobble Alert,40937,-27.9978,153.1575,Logan-Albert Rivers,Scenic Rim Regional,Rain Gauge / Water Level
Bromfleet Alert,40938,-27.9108,153.1047,Logan-Albert Rivers,Logan City,Rain Gauge / Water Level
Beaudesert Alert,40939,-27.9681,152.9861,Logan-Albert Rivers,Scenic Rim Regional,Rain Gauge / Water Level
Yarrahappini Alert,40940,-27.8336,152.9878,Logan-Albert Rivers,Logan City,Rain Gauge / Water Level
Kooralbyn Alert,40941,-28.0661,152.8532,Logan-Albert Rivers,Scenic Rim Regional,Rain Gauge
Palen Creek Alert,40942,-28.3222,152.7358,Logan-Albert Rivers,Scenic Rim Regional,Rain Gauge
Deickmans Bridge Alert,40943,-28.2453,152.8908,Logan-Albert Rivers,Scenic Rim Regional,Rain Gauge / Water Level
Rudds Lane Alert,40944,-28.1692,152.9833,Logan-Albert Rivers,Scenic Rim Regional,Rain Gauge / Water Level
Round Mountain Alert,40945,-28.0708,152.9272,Logan-Albert Rivers,Scenic Rim Regional,Rain Gauge / Water Level
Rathdowney Alert,40946,-28.2153,152.8681,Logan-Albert Rivers,Scenic Rim Regional,Rain Gauge / Water Level
Croftby Alert,40947,-28.1481,152.57,Logan-Albert Rivers,Scenic Rim Regional,Rain Gauge / Water Level
Knapps Peak Alert,40948,-28.1461,152.7358,Logan-Albert Rivers,Scenic Rim Regional,Rain Gauge
Boonah Alert,40949,-28.0033,152.6875,Logan-Albert Rivers,Scenic Rim Regional,Rain Gauge / Water Level
Bellbird Park (Purser Rd) Al,40985,-27.6692,152.8731,Brisbane River,Ipswich City,Rain Gauge / Water Level
Giddi Giddi South Tm,41112,-28.4033,150.0517,Border Rivers,Goondiwindi Regional,Rain Gauge / Water Level
Kilbronae Tm,41124,-28.2817,150.3747,Border Rivers,Goondiwindi Regional,Rain Gauge / Water Level
Langley Tm,41152,-27.9753,150.9225,Border Rivers,Toowoomba Regional,Rain Gauge
Bybera Tm,41162,-28.2694,150.8106,Border Rivers,Goondiwindi Regional,Rain Gauge
Kerimbilla Tm,41169,-28.3911,150.4825,Border Rivers,Goondiwindi Regional,Rain Gauge
Limevale Tm,41230,-28.725,151.1843,Border Rivers,Goondiwindi Regional,Rain Gauge
Wyaga Tm,41348,-28.1667,150.6444,Border Rivers,Goondiwindi Regional,Rain Gauge
Goondiwindi,41350,-28.5514,150.3086,Border Rivers,Moree Plains Shire,Water Level
Pikedale Tm,41365,-28.6514,151.6336,Border Rivers,Southern Downs Regional,Rain Gauge
Chinchilla Weir Tw,41411,-26.8,150.5753,Condamine-Culgoa Rivers,Western Downs Regional,Water Level
Retreat Bridge Tm,41485,-27.9006,150.3486,Border Rivers,Goondiwindi Regional,Water Level
Ballymena Tm,41488,-28.0522,150.1475,Border Rivers,Goondiwindi Regional,Rain Gauge / Water Level
Medpark Bridge Tm,41489,-28.3011,150.2936,Border Rivers,Goondiwindi Regional,Rain Gauge / Water Level
Bengalla Tm,41506,-28.6561,150.6653,Border Rivers,Goondiwindi Regional,Rain Gauge / Water Level
New Kildonan Tm,41507,-28.6656,150.445,Border Rivers,Moree Plains Shire,Rain Gauge / Water Level
O'Connor Tm,41508,-27.7267,150.6453,Border Rivers,Western Downs Regional,Rain Gauge / Water Level
Yangan Alert,41530,-28.2006,152.2156,Condamine-Culgoa Rivers,Southern Downs Regional,Rain Gauge / Water Level
Glengallan Creek Alert,41531,-28.1167,152.0642,Condamine-Culgoa Rivers,Southern Downs Regional,Rain Gauge / Water Level
Connolly Dam Alert,41532,-28.3558,151.9967,Condamine-Culgoa Rivers,Southern Downs Regional,Rain Gauge / Water Level / Reservoir
Emu Vale Alert,41533,-28.2292,152.2269,Condamine-Culgoa Rivers,Southern Downs Regional,Rain Gauge / Water Level
Warwick Alert,41534,-28.2111,152.0275,Condamine-Culgoa Rivers,Southern Downs Regional,Rain Gauge / Water Level
Elbow Valley Alert,41535,-28.3731,152.14,Condamine-Culgoa Rivers,Southern Downs Regional,Rain Gauge / Water Level
Murrays Bridge Alert,41536,-28.2883,152.1053,Condamine-Culgoa Rivers,Southern Downs Regional,Rain Gauge / Water Level
Killarney Alert,41537,-28.3394,152.2944,Condamine-Culgoa Rivers,Southern Downs Regional,Rain Gauge / Water Level
Dunmore Exchange Tm,41545,-27.6539,150.9136,Border Rivers,Toowoomba Regional,Rain Gauge
Avoca Tm,41546,-27.9803,150.515,Border Rivers,Goondiwindi Regional,Rain Gauge
Wallangarra Tm,41547,-28.9236,151.9289,Border Rivers,Southern Downs Regional,Rain Gauge
Texas Tm,41548,-28.8675,151.1611,Border Rivers,Inverell Shire,Rain Gauge / Water Level
Belgrae Park Alert,41551,-26.9669,151.4847,Condamine-Culgoa Rivers,Western Downs Regional,Rain Gauge
Allora (Dalrymple Creek Alert),41563,-28.034645,151.986998,Condamine-Culgoa Rivers,Southern Downs Regional,Rain Gauge / Water Level
Killarney (Spring Ck WTP Alert),41564,-28.352475,152.337323,Condamine-Culgoa Rivers,Southern Downs Regional,Rain Gauge / Water Level
Talwood,42066,-28.4983,149.4819,Border Rivers,Goondiwindi Regional,Water Level
Hartmann Bridge Tm,42097,-28.3706,149.8811,Border Rivers,Goondiwindi Regional,Rain Gauge / Water Level
Surrey Tm,42104,-28.3839,149.6747,Border Rivers,Goondiwindi Regional,Rain Gauge / Water Level
Lundavra Tm,42115,-28.0697,149.9794,Border Rivers,Goondiwindi Regional,Rain Gauge
Arden Downs Tm,42116,-28.23,149.5617,Border Rivers,Goondiwindi Regional,Rain Gauge
Auburn River (Andrews Road) TM,42123,-25.745254,150.589112,Burnett River,Western Downs Regional,Rain Gauge / Water Level
Amby,43000,-26.5478,148.185,Condamine-Culgoa Rivers,Maranoa Regional,Rain Gauge / Water Level
Tindarra Tm,43033,-26.4689,148.8047,Condamine-Culgoa Rivers,Maranoa Regional,Rain Gauge / Water Level
Mitchell,43064,-26.4872,147.9783,Condamine-Culgoa Rivers,Maranoa Regional,Water Level
Warroo,43107,-27.645,148.7411,Condamine-Culgoa Rivers,Balonne Shire,Rain Gauge / Water Level
Binnowee Al,44230,-26.4842,146.0861,Warrego River,Murweh Shire,Rain Gauge / Water Level
Myendetta Al,44231,-26.5458,146.0167,Warrego River,Murweh Shire,Rain Gauge / Repeater
The 27 Mile Garden Al,44232,-26.0808,146.4172,Warrego River,Murweh Shire,Rain Gauge / Water Level
Barradeen Al,44234,-26.0419,146.4292,Warrego River,Murweh Shire,Rain Gauge / Repeater
Neabul Creek,44238,-27.595457,147.792459,Condamine-Culgoa Rivers,Balonne Shire,Rain Gauge / Water Level
Tamworth Road Bridge (Peel River),55307,-31.0928,150.9267,Namoi River,Tamworth Regional Council,Water Level
Goonoo Goonoo (Goonoo Goonoo Creek),55313,-31.2717,150.9167,Namoi River,Tamworth Regional Council,Rain Gauge / Water Level
Piallamore (Peel River),55315,-31.1833,151.065,Namoi River,Tamworth Regional Council,Water Level
Mulla Crossing (Cockburn River),55321,-31.0625,151.125,Namoi River,Tamworth Regional Council,Rain Gauge / Water Level
Chillingham,58011,-28.3132,153.2759,Tweed River,Tweed Shire Council,Rain Gauge / Water Level
The Channon,58147,-28.6792,153.2775,Richmond River,Lismore City Council,Rain Gauge / Water Level
Nashua (Wilsons River),58162,-28.7278,153.4622,Richmond River,Byron Shire Council,Rain Gauge / Water Level
Uki (Tweed River),58167,-28.4147,153.3339,Tweed River,Tweed Shire Council,Rain Gauge / Water Level
Lismore (Wilsons River),58176,-28.81,153.2733,Richmond River,Lismore City Council,Water Level
Casino Road Bridge (Richmond River),58179,-28.8694,153.0458,Richmond River,Richmond Valley Council,Water Level
Nimbin (Goolmangar Creek),58180,-28.6069,153.2083,Richmond River,Lismore City Council,Rain Gauge / Water Level
Copmanhurst (Clarence River),58181,-29.5944,152.7806,Clarence River,Clarence Valley Council,Water Level
North Murwillumbah (Tweed River),58186,-28.3274,153.402,Tweed River,Tweed Shire Council,Rain Gauge / Water Level
Eungella (Oxley River),58193,-28.3538,153.293,Tweed River,Tweed Shire Council,Rain Gauge / Water Level
Rock Valley (Leycester Creek),58199,-28.7364,153.1634,Richmond River,Lismore City Council,Rain Gauge / Water Level
Eltham (Wilsons Creek),58200,-28.7569,153.3944,Richmond River,Lismore City Council,Water Level
Tuncester (Leycester Creek),58201,-28.7967,153.2386,Richmond River,Lismore City Council,Rain Gauge / Water Level
Bentley (Back Creek),58202,-28.7406,153.075,Richmond River,Richmond Valley Council,Rain Gauge / Water Level
Boat Harbour (Rous River),58204,-28.3217,153.3467,Tweed River,Tweed Shire Council,Rain Gauge / Water Level
Corndale (Coopers Creek),58206,-28.7231,153.3614,Richmond River,Lismore City Council,Rain Gauge / Water Level
Murwillumbah (Hartigans Hill),58215,-28.3324,153.3889,Tweed River,Tweed Shire Council,Repeater
Minnie Water (Pump Shed),58222,-29.7847,153.2639,Bellinger River,Clarence Valley Council,Rain Gauge
Rocky Creek Dam,58234,-28.632811,153.344161,Richmond River,Lismore City Council,Rain Gauge / Water Level
Lismore (Ballina St Bridge) ,58235,-28.812779,153.269361,Richmond River,Lismore City Council,Water Level
Kogal (Nulla Nulla Ck),59056,-30.7333,152.5,Macleay River,Kempsey Shire Council,Water Level
Thora (Bellinger River),59121,-30.425,152.7806,Bellinger River,Bellingen Shire Council,Water Level
Bellbrook (Macleay River),59122,-30.8217,152.5067,Macleay River,Kempsey Shire Council,Rain Gauge / Water Level
Wittitrin (Dungay Creek),59125,-31.0897,152.6217,Macleay River,Kempsey Shire Council,Water Level
Bellingen (Bellinger River),59126,-30.4517,152.8983,Bellinger River,Bellingen Shire Council,Water Level
Kempsey Rd Bridge (Macleay River),59127,-31.0833,152.8467,Macleay River,Kempsey Shire Council,Water Level
Moparrabah (Parrabel Creek),59128,-30.9783,152.5106,Macleay River,Kempsey Shire Council,Rain Gauge / Water Level
Copeland Tops (Copeland),60154,-31.972341,151.80924,Manning River,Mid-Coast Council,Repeater
Ellerston (Poitrel),61196,-31.7069,151.2131,Hunter River,Upper Hunter Shire Council,Rain Gauge
Belmont Wwtp,61299,-33.0464,151.6711,Macquarie-Tuggerah Lakes,Lake Macquarie City Council,Rain Gauge
Kars Springs (Welldun),61306,-31.8988,150.658,Hunter River,Upper Hunter Shire Council,Rain Gauge
St Albans (Macdonald River),61353,-33.2944,150.9719,Hawkesbury River,Hawkesbury City Council,Water Level
Scone (Kingdon Ponds),61360,-32.05,150.8528,Hunter River,Upper Hunter Shire Council,Rain Gauge / Water Level
Parkville (Kingdon Ponds),61373,-31.9583,150.8567,Hunter River,Upper Hunter Shire Council,Rain Gauge / Water Level
Gears (Wyong River),61383,-33.2528,151.316,Macquarie-Tuggerah Lakes,Central Coast Council (NSW),Rain Gauge / Water Level
Kangy Angy (Ourimbah Creek),61384,-33.3319,151.3833,Macquarie-Tuggerah Lakes,Central Coast Council (NSW),Rain Gauge / Water Level
Wyong Bridge Upstream (Wyong River),61386,-33.291,151.4238,Macquarie-Tuggerah Lakes,Central Coast Council (NSW),Water Level
Bathurst Stanley Street (Macquarie River),63287,-33.4107,149.5843,Macquarie-Bogan Rivers,Bathurst Regional Council,Rain Gauge / Water Level
Putty Road (Colo River),63288,-33.432,150.8285,Hawkesbury River,Hawkesbury City Council,Water Level
Tarana (Fish River),63297,-33.5728,149.9128,Macquarie-Bogan Rivers,Oberon Council,Rain Gauge / Water Level
Campbells River (Upstream Chifley),63298,-33.6134,149.6987,Macquarie-Bogan Rivers,Bathurst Regional Council,Rain Gauge / Water Level
Toogong (Glenayr),65084,-33.3711,148.5917,Lachlan River,Cabonne Shire Council,Rain Gauge / Water Level
Eugowra Town (Mandagery Creek),65086,-33.4333,148.3833,Lachlan River,Cabonne Shire Council,Water Level
Forbes Iron Bridge (Lachlan River),65088,-33.4,148.0167,Lachlan River,Forbes Shire Council,Water Level
Wattamolla (Griffiths),68218,-34.7208,150.6491,Shoalhaven River,Shoalhaven City Council,Rain Gauge
Terara (Shoalhaven River),68221,-34.8708,150.6333,Shoalhaven River,Shoalhaven City Council,Water Level
Fossickers Flat (Shoalhaven River),68232,-34.8217,150.1817,Shoalhaven River,Shoalhaven City Council,Water Level
Goulburn (Pomeroy),70071,-34.6514,149.5024,Hawkesbury River,Upper Lachlan Shire Council,Rain Gauge
Mt Wellington,85304,-37.4967,146.8575,Mitchell River (Vic),Wellington Shire,Rain Gauge
Emu Creek at Pierces Creek Road,140023,-27.064441,152.004606,Brisbane River,Toowoomba Regional,Rain Gauge / Water Level
Willowbank,140024,-27.69518,152.6865,Brisbane River,Ipswich City,Rain Gauge / Water Level
Munna Ck (Glenbar Tiaro Rd) Alert,140025,-25.747439,152.29655,Mary River (Qld),Fraser Coast Regional,Rain Gauge / Water Level
Doongul Creek (Old Gayndah Rd) TM,140026,-25.394149,152.430947,Burrum River,Fraser Coast Regional,Rain Gauge / Water Level
Doongul Creek (Wongi State Forest) TM,140027,-25.469355,152.46426,Burrum River,Fraser Coast Regional,Rain Gauge / Water Level
Widgee Ck (Wide Bay HWY) Alert,140028,-26.091249,152.510311,Mary River (Qld),Gympie Regional,Rain Gauge / Water Level
Widgee Ck (Pahlow Rd Bridge) TM,140029,-26.19561,152.456846,Mary River (Qld),Gympie Regional,Rain Gauge / Water Level
BOYNE RIVER (MCLAUGHLINS RD),140030,-26.451376,151.387367,Burnett River,South Burnett Regional,Rain Gauge / Water Level
Cherwell River (Highway Bridge) Alert,140031,-25.290451,152.416023,Burrum River,Fraser Coast Regional,Rain Gauge / Water Level
Mount Stanley TM,140843,-26.68206,152.20519,Brisbane River,Somerset Regional,Water Level
Mount Hallen (Sandy Creek) Alert,140844,-27.31698,152.37626,Brisbane River,Somerset Regional,Rain Gauge
Purga Creek (Washpool Rd) Alert,140845,-27.818224,152.754859,Brisbane River,Scenic Rim Regional,Rain Gauge / Water Level
Running Creek (Bells Bridge) Alert,140846,-28.3182534,152.9215987,Logan-Albert Rivers,Scenic Rim Regional,Rain Gauge / Water Level
GATTON LVRC ENVIROMON BASESTATION,260122,-27.5588,152.2762,Gatton,Lockyer Valley Regional,Base Station
Fraser Coast Regional Council Base Station,260127,-25.314916,152.888471,Burrum River,Fraser Coast Regional,Gateway
Alick Creek Tm,529039,-20.4167,141.9992,Flinders River,McKinlay Shire,Rain Gauge / Water Level
Punchbowl Road TM,529042,-20.0531,142.0349,Flinders River,McKinlay Shire,Rain Gauge / Water Level
Flinders Cloncurry Junction Tm,529044,-18.5594,140.7194,Flinders River,Carpentaria Shire,Rain Gauge / Water Level
Wondoola Tm,529045,-18.5147,140.9097,Flinders River,Carpentaria Shire,Rain Gauge / Water Level
Yappar Junction Tm,529046,-18.2853,141.2153,Norman River,Croydon Shire,Rain Gauge / Water Level
Broadwater Tm,529047,-18.0797,141.1331,Norman River,Carpentaria Shire,Rain Gauge / Water Level
Lower Walker Ck Tm,529048,-17.4725,141.1789,Norman River,Carpentaria Shire,Rain Gauge / Water Level
Normanton Tm,529049,-17.6647,141.0872,Norman River,Carpentaria Shire,Rain Gauge / Water Level
Upper Walker Creek Tm,529050,-17.3522,141.6461,Norman River,Carpentaria Shire,Rain Gauge / Water Level
Iffley Tm,529051,-18.8536,141.1917,Norman River,Carpentaria Shire,Rain Gauge / Water Level
Archie Creek Tm,529058,-18.5062,138.8551,Nicholson River,Burke Shire,Rain Gauge / Water Level
Barkly River Wdr Tm,529059,-18.2408,139.2658,Nicholson River,Burke Shire,Rain Gauge / Water Level
Cartridge Creek Tm,529060,-18.6898,139.4659,Leichhardt River,Burke Shire,Rain Gauge / Water Level
Doomadgee Tm,529061,-17.959,138.8519,Nicholson River,Doomadgee Aboriginal Shire,Water Level
Kingfisher Camp Tm,529062,-17.8751,138.2835,Nicholson River,Burke Shire,Rain Gauge / Water Level
Lower Lawn Hill Creek Tm,529063,-18.2369,138.6428,Nicholson River,Burke Shire,Rain Gauge / Water Level
Norfolk Station Tm,529064,-19.3151,138.3323,Nicholson River,Mount Isa City,Rain Gauge
O'Shannassy River Tm,529065,-19.6744,138.4004,Nicholson River,Mount Isa City,Rain Gauge
Running Creek Tm,529066,-18.322,139.264,Nicholson River,Burke Shire,Rain Gauge / Water Level
